Incident Number,Lon,Latt
26688616,1.13803,51.08933
26689487,1.02588,51.07572
26689654,0.89098,51.11841
26691130,1.17233,51.09141
26691648,1.07963,51.06459
26692177,1.17483,51.07844
26692456,1.09574,51.06837
26692820,0.95614,51.11153
26693249,1.05149,51.0962
26694031,1.17872,51.07809
26694682,1.0413,51.10686
26694892,1.07076,51.07231
26694916,1.16793,51.07651
26695102,1.16354,51.07478
26695518,0.96155,51.11867
26695696,1.16078,51.11201
26696061,1.01409,51.08231
26696396,1.13513,51.08846
26696682,1.06928,51.07145
26696742,1.08463,51.13042
26697332,1.15352,51.11089
26698149,1.17195,51.0903
26698350,1.12084,51.09942
26698498,1.09622,51.07951
26698880,1.13742,51.08744
26699059,1.15359,51.09213
26700110,1.18059,51.08548
26700942,1.16516,51.09453
26702194,1.17239,51.07944
26702201,1.17189,51.086
26702501,1.09086,51.12586
26703816,0.93564,51.18084
26704104,1.18312,51.09297
26705028,1.0448,51.05528
26706328,1.15829,51.13224
26706870,0.94081,51.09454
26707167,0.93693,51.18298
26709537,1.12606,51.095
26709797,0.9261,51.09413
26709964,1.06185,51.06715
26710252,1.17889,51.08741
26710394,0.92903,51.18602
26711909,1.16583,51.09508
26712522,0.93148,51.07921
26712820,1.06902,51.08322
26715400,1.23092,51.10491
26716439,1.0824,51.0756
26716788,1.18699,51.09343
26718500,1.14739,51.08777
26719442,1.03226,51.06878
26720598,1.02514,51.06102
26721443,1.16027,51.11928
26721663,1.1373,51.08493
26722093,1.18726,51.08827
26722289,1.07621,51.0718
26725350,1.07507,51.09546
26727403,1.13451,51.08873
26727736,1.16992,51.09684
26728127,1.04668,51.10152
26728465,1.15168,51.1065
26729042,0.94646,51.0935
26729724,0.88369,51.11046
26729941,1.00296,51.10335
26730911,0.88252,51.11166
26731090,1.18751,51.08754
26731393,1.18874,51.0823
26732447,1.17694,51.07972
26732513,1.1799,51.08135
26732886,0.96155,51.11867
26733639,1.17465,51.07844
26734336,1.16101,51.08731
26734621,1.16885,51.07545
26734873,1.21495,51.11192
26735175,1.10557,51.08038
26735593,1.12989,51.08999
26736792,1.14221,51.07311
26737620,1.16516,51.09453
26738097,1.16505,51.07387
26738473,1.09073,51.06674
26738947,1.15025,51.11376
26738985,1.07777,51.07033
26741400,1.05149,51.0962
26742333,1.16946,51.0814
26742732,1.16089,51.09592
26743394,1.16115,51.11634
26747416,1.173,51.08071
26748191,1.16649,51.11419
26748902,1.14728,51.08467
26749421,1.09927,51.07156
26750390,1.13606,51.08767
26750865,1.17403,51.07631
26750871,1.17312,51.08044
26752351,1.14336,51.084
26752978,1.11726,51.07787
26754089,1.19067,51.09248
26754920,1.15959,51.11442
26755807,1.00548,51.10293
26756358,1.12361,51.07247
26757031,1.12213,51.07185
26759008,1.101,51.11548
26759193,1.16368,51.11571
26759209,1.07849,51.0811
26759335,1.12152,51.09243
26759882,1.14944,51.09265
26760678,1.19922,51.09225
26761010,1.16089,51.09592
26762867,1.09927,51.07156
26765367,0.93777,51.17883
26767239,1.18559,51.0786
26767455,1.15192,51.08994
26767767,1.17889,51.08741
26768131,1.07831,51.07841
26770522,1.17157,51.09299
26771686,0.9762,51.17932
26771999,1.15078,51.12583
26772102,1.13285,51.08626
26772400,1.1978,51.09229
26772784,1.13507,51.08871
26772788,0.96844,51.12443
26773143,1.09538,51.0941
26773282,1.15517,51.09243
26774726,1.16516,51.09453
26774989,1.17481,51.07849
26776446,1.04581,51.09504
26776787,1.08194,51.07174
26777056,1.15247,51.0763
26777589,1.15936,51.08651
26778085,1.15918,51.12845
26779129,1.1844,51.0887
26779208,1.07569,51.07736
26780231,1.18759,51.09357
26780746,1.08714,51.07219
26780826,1.17189,51.086
26781574,1.15913,51.07656
26782333,1.1348,51.09238
26783280,1.16668,51.11566
26785116,1.14612,51.08892
26785276,1.14783,51.08703
26785824,1.15548,51.07757
26786059,1.00534,51.13626
26786608,1.178,51.08788
26787056,1.14208,51.0866
26788909,1.17515,51.08815
26789073,1.14088,51.0911
26789881,1.15221,51.08805
26790606,1.18451,51.11459
26790784,1.09075,51.07558
26790968,0.94031,51.08472
26791092,1.1348,51.09238
26791627,1.14291,51.0821
26791782,1.17288,51.08307
26792895,1.14862,51.11417
26794110,1.16189,51.11195
26794202,1.18203,51.08093
26794621,1.2308,51.10374
26796133,1.05149,51.0962
26796387,1.16265,51.11301
26796946,1.1637,51.07942
26797116,0.9425,51.09661
26797177,1.20921,51.11267
26797379,1.14635,51.08028
26797800,1.16059,51.09637
26798122,1.16381,51.09521
26798333,1.04539,51.09455
26798447,1.08183,51.13139
26799042,1.13909,51.09028
26800319,1.21293,51.10447
26800815,1.17969,51.08267
26802744,1.10677,51.09394
26804674,1.15198,51.09084
26807028,1.10931,51.07219
26807175,1.1966,51.08367
26807665,1.18751,51.08754
26808294,1.07803,51.07147
26808695,1.10931,51.07219
26809906,1.17273,51.12266
26810020,1.07094,51.075
26810757,0.92289,51.10292
26810792,1.08105,51.06862
26811649,1.12117,51.09567
26811758,1.08899,51.12182
26812160,1.11652,51.09449
26813112,1.17239,51.07589
26813795,1.19289,51.09071
26813832,1.15221,51.11512
26815055,1.10778,51.072
26815673,0.97272,51.12432
26815707,1.16831,51.07728
26815832,1.14479,51.09013
26815863,0.94646,51.0935
26816965,1.13724,51.08404
26817350,1.16265,51.11301
26818486,1.01409,51.08231
26819465,1.15581,51.10864
26820704,0.99094,51.10757
26820885,1.06452,51.10863
26821250,1.18999,51.08261
26821411,1.11726,51.0737
26823057,1.12362,51.0911
26823386,0.8875,51.11714
26823459,1.04712,51.09769
26823914,1.03768,51.0821
26825175,1.16342,51.11329
26825733,0.93253,51.12174
26825915,1.17915,51.08738
26826223,1.12152,51.09243
26826866,1.14814,51.07895
26826925,1.18381,51.0808
26827126,1.16362,51.11481
26827411,1.15869,51.08534
26829055,1.03096,51.10962
26829605,1.17257,51.07596
26829629,1.13541,51.08638
26829648,1.122,51.07203
26829812,1.11822,51.0932
26831209,1.04576,51.06127
26831928,1.16597,51.09432
26832643,1.13285,51.08626
26834450,1.18587,51.09886
26834454,0.92933,51.18501
26834788,1.17554,51.07973
26835143,1.03767,51.09027
26836030,1.15019,51.08549
26836062,1.1143,51.0734
26836592,1.17655,51.07799
26836740,1.17239,51.07944
26837805,1.17836,51.09574
26837934,1.15043,51.11392
26838204,1.05149,51.0962
26839676,1.12606,51.095
26840152,1.16567,51.08543
26840939,1.16587,51.09437
26840993,1.16489,51.09494
26841047,1.15911,51.07656
26843263,1.08796,51.07114
26844662,1.0926,51.07557
26844931,0.93927,51.18274
26845525,1.14696,51.08675
26846279,1.08918,51.06826
26846519,1.17485,51.07848
26846706,1.17069,51.11372
26847610,1.17965,51.09165
26847683,1.18699,51.09343
26847807,1.16825,51.10126
26847815,1.15166,51.11058
26848073,1.12703,51.08699
26851544,0.97284,51.12612
26852843,1.05149,51.0962
26854848,1.16507,51.09549
26855358,1.2251,51.10902
26855442,1.15829,51.13224
26855921,1.1616,51.09584
26856339,1.1338,51.08286
26856416,1.16526,51.07608
26856458,1.14661,51.07479
26856529,0.95399,51.15662
26856860,1.17806,51.0799
26857132,1.18521,51.09623
26857234,1.16153,51.09434
26858784,1.12402,51.07172
26858876,1.09042,51.06729
26861058,1.15838,51.07987
26862320,1.04689,51.09474
26862723,0.93938,51.08625
26863070,1.17548,51.0794
26864047,1.18731,51.07824
26864799,1.0498,51.12605
26865176,1.06031,51.06539
26865262,1.17889,51.08741
26866290,1.16078,51.11201
26867305,1.17846,51.08112
26870032,1.16992,51.09684
26870067,0.97088,51.1114
26870451,1.07791,51.08081
26870824,1.07649,51.07188
26873804,1.08905,51.0673
26873856,1.15864,51.13103
26874219,1.17912,51.09464
26874952,0.95058,51.15817
26876502,1.17424,51.08214
26876863,1.16059,51.09637
26877179,1.17955,51.09605
26877792,1.14806,51.08253
26877862,1.10677,51.09394
26878361,1.15624,51.11141
26879715,1.10677,51.09394
26881225,1.14791,51.07295
26881884,1.05767,51.06559
26882715,1.09439,51.1135
26883722,1.16024,51.11216
26885678,1.16597,51.09432
26886186,1.13047,51.08871
26886435,1.16159,51.09763
26886687,1.11876,51.07498
26886796,1.13789,51.09048
26887984,1.17612,51.07729
26889097,1.20737,51.12781
26890351,1.14771,51.09095
26891197,0.94375,51.12432
26891537,1.17694,51.07972
26891882,1.17276,51.10481
26891898,1.1686,51.08319
26893903,1.18371,51.07811
26894205,1.06785,51.07149
26894650,1.16203,51.09146
26894813,0.94275,51.18355
26894903,1.1799,51.08135
26895977,0.93498,51.16036
26896614,1.04488,51.09487
26898682,1.16597,51.09432
26899212,1.11959,51.07641
26899310,0.93179,51.12094
26903321,1.16975,51.07953
26904204,1.08905,51.0673
26904948,1.18005,51.08127
26908100,1.15782,51.09475
26909208,1.12488,51.08864
26909473,1.06031,51.06539
26909951,1.13006,51.08871
26910617,1.14963,51.12873
26910690,1.17444,51.07736
26911655,0.97442,51.11116
26913124,0.97825,51.12148
26913129,1.16597,51.09432
26914688,1.17703,51.08116
26914921,1.15896,51.1289
26916782,1.1348,51.09238
26917713,1.16946,51.0814
26917968,1.13285,51.08626
26918402,1.13807,51.08933
26921534,1.13153,51.07251
26923365,1.17076,51.07934
26923495,1.16078,51.11201
26924953,0.8927,51.11755
26926074,1.15072,51.11426
26928093,1.0908,51.06743
26928177,0.97183,51.15493
26929462,1.06195,51.06541
26929888,1.14976,51.0792
26931627,1.16402,51.07882
26931815,1.17522,51.08095
26932208,1.04712,51.09769
26932764,1.11786,51.07196
26932772,1.17548,51.0794
26932866,1.09363,51.11147
26932875,1.13412,51.08891
26933151,1.17189,51.086
26933201,1.15967,51.11197
26933494,1.05149,51.0962
26933822,1.18287,51.07933
26934551,1.17348,51.11274
26935295,1.11944,51.0727
26936748,1.17334,51.08033
26937745,1.17292,51.07699
26938620,1.05149,51.0962
26939048,1.06334,51.11119
26939394,1.16078,51.11201
26939694,1.16946,51.0814
26941278,1.14919,51.09181
26941495,1.143,51.08478
26941870,1.1642,51.09523
26942014,0.93617,51.18651
26943152,1.152,51.08547
26944584,1.02249,51.07277
26945272,1.18321,51.08244
26945276,1.0932,51.11457
26946060,1.17501,51.07608
26946642,0.98044,51.11067
26948074,1.17901,51.0892
26948366,1.17174,51.08623
26948593,1.14758,51.08916
26948711,1.15867,51.13264
26949412,1.16568,51.09624
26951252,1.0015,51.1425
26951514,1.09254,51.07045
26952840,1.04879,51.06389
26955515,1.18975,51.09344
26955964,1.16664,51.095
26956581,0.94164,51.09662
26957379,1.3134,51.12788
26957680,1.05149,51.0962
26958696,1.1348,51.09238
26958952,1.17989,51.08317
26959340,1.16059,51.09637
26961582,1.16394,51.1145
26961583,1.18114,51.09421
26961664,1.15221,51.11512
26962267,1.10782,51.07209
26962591,1.18246,51.08185
26963983,1.14903,51.07375
26964707,1.04409,51.09493
26965842,1.12667,51.09435
26966098,1.19344,51.09188
26966110,1.19344,51.09188
26966225,1.16946,51.0814
26968527,1.16078,51.11201
26970150,1.08159,51.07122
26970153,1.15066,51.07416
26970287,1.18571,51.08272
26970455,1.16735,51.11122
26970482,1.02509,51.0726
26972389,1.06922,51.06947
26972620,1.07643,51.07197
26972763,1.16992,51.09684
26972962,1.16656,51.09395
26974139,1.17948,51.07905
26975252,1.15911,51.09064
26976076,1.09627,51.11212
26976325,1.0424,51.09576
26977234,0.92585,51.1291
26978044,0.89655,51.0911
26978117,1.15829,51.13224
26979331,1.1776,51.1069
26980591,1.1348,51.09238
26981199,0.97148,51.12663
26981524,1.04873,51.06299
26982374,1.14331,51.08927
26982478,1.11034,51.0724
26982574,0.93579,51.17518
26983234,0.9533,51.11351
26984391,1.04987,51.09244
26985459,1.02361,51.11044
26985869,1.00041,51.07836
26986932,1.19691,51.08635
26988869,1.14812,51.0739
26990065,1.16526,51.07608
26991365,0.90021,51.1141
26991436,1.19352,51.09241
26991777,1.18906,51.08983
26992013,1.06347,51.11027
26992460,1.06174,51.06535
26993335,1.09627,51.11212
26993459,1.15413,51.11203
26994790,1.15782,51.09475
26996230,1.09574,51.06837
26997262,1.10677,51.09394
26997533,1.18553,51.09083
26998060,1.0732,51.07493
26999464,1.15514,51.10083
27000626,1.15196,51.0954
27000648,1.0754,51.07321
27000938,1.1832,51.08138
27001257,1.16693,51.10814
27002381,0.93876,51.08783
27003493,1.15829,51.13224
27004675,1.14697,51.08018
27005213,1.1679,51.11469
27006357,1.16597,51.09432
27007269,1.15936,51.08651
27008769,1.04953,51.06339
27009578,1.31561,51.11322
27009765,1.17877,51.08681
27010650,1.17331,51.08926
27011282,1.04576,51.06127
27012181,1.10824,51.07238
27012824,1.04648,51.11996
27013194,1.17774,51.08744
27014540,0.9374,51.1847
27015641,1.07058,51.06961
27015785,1.03768,51.0821
27016583,1.16597,51.09432
27016891,1.17955,51.09605
27017231,1.04488,51.09487
27017300,1.17345,51.09206
27018906,1.00296,51.10335
27019096,1.12606,51.095
27019612,1.16793,51.07651
27022537,1.14983,51.08397
27022546,1.13502,51.0724
27023212,1.13029,51.08692
27023933,1.12541,51.08389
27026105,1.15105,51.08828
27027318,1.14697,51.08018
27027489,1.16159,51.09763
27027524,1.20561,51.09904
27029662,1.0873,51.12765
27030226,1.15829,51.13224
27031417,1.19104,51.08766
27032005,1.11216,51.07211
27032768,1.15015,51.08983
27033024,1.07621,51.0718
27033272,1.16042,51.08881
27035290,1.09627,51.11212
27037244,1.04987,51.09244
27037396,0.92182,51.18336
27039136,1.08928,51.0756
27040802,1.1373,51.08493
27041557,1.1739,51.0849
27042919,1.1608,51.07351
27043032,1.06601,51.08677
27043504,1.09574,51.06837
27046340,1.03821,51.05243
27046478,1.18707,51.07831
27046502,1.19463,51.08788
27046807,1.12264,51.09457
27047784,1.00075,51.07802
27048015,1.00139,51.07759
27048455,1.09094,51.07243
27049337,1.18143,51.08284
27049396,1.16021,51.08172
27049586,1.01409,51.08231
27049890,1.09333,51.06812
27050117,1.03329,51.13532
27050966,1.09865,51.13118
27051689,1.16825,51.10126
27052255,0.95551,51.13635
27053060,1.19261,51.09442
27055450,1.16351,51.07513
27055724,1.13067,51.08999
27057036,1.20921,51.11267
27057420,1.04296,51.15412
27058381,1.15712,51.13312
27058616,0.95436,51.19328
27058754,1.05149,51.0962
27058945,1.16337,51.08414
27059032,1.16245,51.0765
27059272,1.18211,51.09272
27059912,1.12402,51.07172
27061390,1.00602,51.0628
27061551,1.1522,51.11376
27062119,1.09457,51.10248
27063603,1.1821,51.08217
27063928,1.05149,51.0962
27064245,1.05149,51.0962
27065268,1.12606,51.095
27065590,1.12606,51.095
27066213,1.08666,51.07105
27066487,1.00078,51.13777
27067780,1.02891,51.07862
27069648,1.17795,51.08657
27070317,1.16341,51.08174
27071903,1.18015,51.07873
27072721,1.13871,51.09683
27075107,1.04712,51.09769
27077243,1.06334,51.11119
27077574,1.15118,51.09002
27077704,1.16059,51.09637
27077914,1.06928,51.07145
27078382,0.883,51.11067
27078671,1.05149,51.0962
27079578,1.17182,51.0885
27079766,1.16032,51.12929
27081392,1.02507,51.06106
27081508,1.09093,51.1268
27081668,1.16334,51.09121
27081931,1.16368,51.11571
27083757,0.94473,51.05744
27084339,1.07979,51.07927
27085896,1.15484,51.08356
27086044,1.04488,51.09487
27086314,1.17271,51.09503
27086918,1.19587,51.08515
27087243,1.17874,51.08679
27087754,1.2084,51.10099
27088304,1.08111,51.13657
27088472,1.09923,51.07991
27089246,1.08854,51.07109
27090011,1.20752,51.12789
27091252,1.13067,51.08999
27092212,1.17152,51.0788
27092308,1.20752,51.12789
27093011,1.18559,51.0786
27093291,1.16489,51.09494
27095201,1.19591,51.09333
27096246,1.21014,51.10284
27098318,1.17069,51.11372
27099367,0.94417,51.1064
27100093,1.14223,51.09493
27100835,1.15415,51.07671
27100915,1.00074,51.07833
27101365,1.12213,51.07185
27102483,1.15019,51.08654
27102487,1.17123,51.10753
27105289,1.12667,51.09435
27106934,1.08194,51.07174
27107310,1.14091,51.08706
27108351,1.15838,51.07987
27108452,1.17704,51.08559
27109558,1.19154,51.08436
27109893,0.94473,51.05744
27110616,1.15724,51.09035
27110651,1.15724,51.09035
27111345,1.18559,51.0786
27115111,1.16597,51.09432
27115703,1.18001,51.08125
27117752,0.92231,51.1184
27118053,1.00289,51.14161
27118851,1.00069,51.07851
27118858,1.00854,51.07767
27119122,1.12944,51.08933
27120877,1.07207,51.07048
27122372,1.04712,51.09769
27122634,1.09289,51.07462
27123380,1.13067,51.08999
27123396,0.94397,51.09481
27123741,1.13609,51.08051
27123853,1.20752,51.09419
27124106,1.01665,51.07462
27124484,1.11786,51.07196
27124678,1.12585,51.08978
